"w1" "w2"
"w3" "w4"
"w5" "w6"
"w7" "w8"
"w9" "w7"
"w8" "w10"
"w10" "w11"
"w12" "w10"
"w10" "w13"
"w14" "w15"
"w15" "w16"
"w17" "w16"
"w18" "w19"
"w19" "w14"
"w11" "w20"
"w20" "w21"
"w21" "w22"
"w22" "w18"
"w23" "w17"
"w24" "w25"
"w26" "w27"
"w28" "w24"
"w27" "w28"
"w29" "w27"
"w30" "w31"
"w32" "w33"
"w34" "w35"
"w36" "w22"
"w37" "w19"
"w38" "w39"
"w40" "w41"
"w42" "w43"
"w44" "w45"
"w46" "w28"
"w47" "w24"
"w48" "w47"
"w49" "w29"
"w50" "w51"
"w52" "w53"
"w54" "w13"
"w55" "w52"
"w45" "w56"
"w57" "w58"
"w59" "w60"
"w60" "w61"
"w61" "w62"
"w63" "w64"
"w65" "w64"
"w64" "w66"
"w66" "w67"
"w68" "w69"
"w67" "w70"
"w70" "w71"
"w62" "w71"
"w71" "w72"
"w69" "w73"
"w74" "w75"
"w73" "w76"
"w76" "w74"
"w77" "w78"
"w79" "w77"
"w75" "w80"
"w81" "w82"
"w82" "w83"
"w83" "w70"
"w80" "w84"
"w84" "w82"
"w85" "w80"
"w86" "w87"
"w88" "w84"
"w89" "w90"
"w91" "w92"
"w93" "w94"
"w95" "w96"
"w92" "w96"
"w97" "w98"
"w99" "w100"
"w96" "w101"
"w101" "w102"
"w94" "w102"
"w102" "w103"
"w103" "w104"
"w105" "w106"
"w106" "w101"
"w100" "w107"
"w108" "w109"
"w110" "w111"
"w109" "w111"
"w104" "w112"
"w112" "w113"
"w114" "w104"
"w115" "w116"
"w116" "w117"
"w118" "w106"
"w119" "w103"
"w120" "w97"
"w121" "w122"
"w123" "w124"
"w125" "w124"
"w126" "w116"
"w127" "w128"
"w129" "w130"
"w131" "w132"
"w133" "w134"
"w135" "w136"
"w137" "w138"
"w139" "w140"
"w136" "w141"
"w142" "w143"
"w144" "w142"
"w143" "w145"
"w141" "w146"
"w147" "w148"
"w149" "w147"
"w150" "w147"
"w151" "w150"
"w152" "w151"
"w146" "w151"
"w153" "w146"
"w154" "w153"
"w128" "w155"
"w156" "w157"
"w158" "w159"
"w145" "w160"
"w161" "w162"
"w148" "w162"
"w163" "w164"
"w164" "w165"
"w138" "w166"
"w166" "w167"
"w168" "w167"
"w167" "w169"
"w160" "w170"
"w171" "w166"
"w169" "w172"
"w155" "w173"
"w132" "w173"
"w173" "w171"
"w159" "w174"
"w134" "w174"
"w174" "w164"
"w175" "w153"
"w170" "w175"
"w165" "w176"
"w130" "w176"
"w176" "w157"
"w157" "w177"
"w177" "w178"
"w178" "w155"
"w179" "w180"
"w181" "w180"
"w182" "w183"
"w184" "w182"
"w180" "w182"
"w185" "w181"
"w186" "w187"
"w188" "w189"
"w190" "w191"
"w192" "w193"
"w194" "w186"
"w193" "w195"
"w196" "w197"
"w198" "w199"
"w197" "w200"
"w201" "w202"
"w203" "w204"
"w205" "w206"
"w207" "w208"
"w209" "w202"
"w200" "w210"
"w211" "w212"
"w209" "w213"
"w213" "w214"
"w215" "w216"
"w217" "w218"
"w210" "w219"
"w220" "w221"
"w222" "w223"
"w216" "w224"
"w225" "w217"
"w212" "w226"
"w227" "w226"
"w228" "w229"
"w230" "w231"
"w219" "w232"
"w233" "w213"
"w232" "w234"
"w235" "w236"
"w237" "w217"
"w238" "w237"
"w239" "w205"
"w240" "w241"
"w242" "w243"
"w244" "w243"
"w245" "w246"
"w247" "w248"
"w248" "w249"
"w250" "w251"
"w252" "w253"
"w254" "w253"
"w255" "w256"
"w257" "w258"
"w256" "w259"
"w260" "w259"
"w261" "w262"
"w256" "w263"
"w263" "w259"
"w264" "w261"
"w246" "w265"
"w266" "w259"
"w258" "w267"
"w268" "w269"
"w270" "w269"
"w271" "w272"
"w272" "w273"
"w274" "w275"
"w276" "w277"
"w278" "w279"
"w280" "w279"
"w281" "w282"
"w283" "w284"
"w285" "w286"
"w277" "w287"
"w288" "w289"
"w279" "w290"
"w291" "w290"
"w292" "w293"
"w294" "w295"
"w296" "w297"
"w298" "w299"
"w299" "w300"
"w301" "w302"
"w303" "w304"
"w305" "w306"
"w302" "w307"
"w308" "w309"
"w310" "w309"
"w309" "w311"
"w300" "w312"
"w307" "w313"
"w314" "w313"
"w311" "w314"
"w313" "w315"
"w316" "w317"
"w317" "w318"
"w319" "w320"
"w320" "w321"
"w322" "w317"
"w323" "w324"
